Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Value,CV (%)
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,19,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,14,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,165,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,254,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,176,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,112,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,343,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CAYUGA,11,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,113,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,24,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,19,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,72,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,138,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,54,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,128,29.8
